Generated Answer,Ground Truth,Context1,Context2,Context3
"According to the document, Jahangir gave Mehrunnisa the title ""Nur Jahan"" after their marriage in 1611.","According to the context, Jahangir gave Mehrunnisa the title ""Nur Jahan"" after their marriage in 1611.","44 In some areas, the zamindars exercised a great deal of power. The exploitation by Mughal administrators and peasants of the same caste allied in rebelling against Mughal authority. These peasant revolts challenged the stability of the Mughal Empire from the end of the seventeenth century. Fig. 6 Akbar recieving the Akbar Nama from Abul Fazl. Mehrunnisa married the Emperor Jahangir in 1611 and received the title Nur Jahan. She remained extremely loyal and supportive to the monarch. As a mark of honour, Jahangir struck silver coins bearing his own titles on one side and on the other the inscription “struck in the name of the Queen Begum, Nur Jahan”. The adjoining document is an order (farman) of Nur Jahan. The square seal states, “Command of her most Sublime and Elevated Majesty Nur Jahan Padshah Begum”. The round seal states, “by the sun of Shah Jahangir she became as brilliant as the moon; may Nur Jahan Padshah be the lady of the age”. Fig. 7  ","The mother of Jahangir was
a Kachhwaha princess, daughter of the Rajput ruler of Amber (modern- day Jaipur). The mother of Shah Jahan was a Rathor princess, daughter of the Rajput ruler of Marwar (Jodhpur). Map 1 Military campaigns under Akbar and Aurangzeb.","71 DEVOTIONAL PATHS TO THE DIVINE expression of his devotion and as a literary work. Surdas was an ardent devotee of Krishna. His compositions, compiled in the , and , express his devotion. Also contemporary was emphasised devotion to Vishnu, and composed poems and plays in Assamese. He began the practice of setting up or houses of recitation and prayer, a practice that continues to date. This tradition also included saints like Dadu Dayal, Ravidas and Mirabai. Mirabai was a Rajput princess married into the royal family of Mewar in the sixteenth century. Mirabai became a disciple of Ravidas, a saint from a caste considered “untouchable”. She was Map 1 Major bhakti saints and the regions associated with them. Eka Sarana Nama Dharma Bhagavad Gita Bhagavata Purana satra

Kirtana-ghosha"
"According to the document, Nur Jahan received the special honor of having silver coins struck with her titles on one side and the inscription ""struck in the name of the Queen Begum, Nur Jahan"" on the other.
","According to the context, Nur Jahan received a special honor when Jahangir struck silver coins bearing his own titles on one side and on the other the inscription ""struck in the name of the Queen Begum, Nur Jahan"".","44 In some areas, the zamindars exercised a great deal of power. The exploitation by Mughal administrators and peasants of the same caste allied in rebelling against Mughal authority. These peasant revolts challenged the stability of the Mughal Empire from the end of the seventeenth century. Fig. 6 Akbar recieving the Akbar Nama from Abul Fazl. Mehrunnisa married the Emperor Jahangir in 1611 and received the title Nur Jahan. She remained extremely loyal and supportive to the monarch. As a mark of honour, Jahangir struck silver coins bearing his own titles on one side and on the other the inscription “struck in the name of the Queen Begum, Nur Jahan”. The adjoining document is an order (farman) of Nur Jahan. The square seal states, “Command of her most Sublime and Elevated Majesty Nur Jahan Padshah Begum”. The round seal states, “by the sun of Shah Jahangir she became as brilliant as the moon; may Nur Jahan Padshah be the lady of the age”. Fig. 7","Elevated Majesty Nur Jahan Padshah Begum”. The round seal states, “by the sun of Shah Jahangir she became as brilliant as the moon; may Nur Jahan Padshah be the lady of the age”. Fig. 7 Nur Jahan’s farman. Akbar Nama and Ain-i Akbari Akbar ordered one of his close friends and courtiers, Abul Fazl, to write a history of his reign. Abul Fazl wrote a three-volume history of Akbar’s reign, titled Akbar Nama. The first volume dealt with Akbar’s ancestors and the second volume recorded the events of Akbar’s reign. The third volume is the Ain-i Akbari. It deals with Akbar’s administration, household, army, the revenues and the geography of his empire. It also provides rich details about the traditions and culture of the people living in India. The most interesting aspect about the Ain-i Akbari is its rich statistical details about things as diverse as crops, yields, prices, wages and revenues. Nur Jahan’s influence in Jahangir’s court","The mother of Jahangir was
a Kachhwaha princess, daughter of the Rajput ruler of Amber (modern- day Jaipur). The mother of Shah Jahan was a Rathor princess, daughter of the Rajput ruler of Marwar (Jodhpur). Map 1 Military campaigns under Akbar and Aurangzeb."
"According to the document, Nur Jahan's seal on a farman signified her authority as the Queen Begum. The square seal states ""Command of her most Sublime and Elevated Majesty Nur Jahan Padshah Begum"", indicating that she was the supreme ruler or queen, with the power to issue commands.
","According to the context, Nur Jahan's seal on a farman (order) signifies ""Command of her most Sublime and Elevated Majesty Nur Jahan Padshah Begum"".","44 In some areas, the zamindars exercised a great deal of power. The exploitation by Mughal administrators and peasants of the same caste allied in rebelling against Mughal authority. These peasant revolts challenged the stability of the Mughal Empire from the end of the seventeenth century. Fig. 6 Akbar recieving the Akbar Nama from Abul Fazl. Mehrunnisa married the Emperor Jahangir in 1611 and received the title Nur Jahan. She remained extremely loyal and supportive to the monarch. As a mark of honour, Jahangir struck silver coins bearing his own titles on one side and on the other the inscription “struck in the name of the Queen Begum, Nur Jahan”. The adjoining document is an order (farman) of Nur Jahan. The square seal states, “Command of her most Sublime and Elevated Majesty Nur Jahan Padshah Begum”. The round seal states, “by the sun of Shah Jahangir she became as brilliant as the moon; may Nur Jahan Padshah be the lady of the age”. Fig. 7","Elevated Majesty Nur Jahan Padshah Begum”. The round seal states, “by the sun of Shah Jahangir she became as brilliant as the moon; may Nur Jahan Padshah be the lady of the age”. Fig. 7 Nur Jahan’s farman. Akbar Nama and Ain-i Akbari Akbar ordered one of his close friends and courtiers, Abul Fazl, to write a history of his reign. Abul Fazl wrote a three-volume history of Akbar’s reign, titled Akbar Nama. The first volume dealt with Akbar’s ancestors and the second volume recorded the events of Akbar’s reign. The third volume is the Ain-i Akbari. It deals with Akbar’s administration, household, army, the revenues and the geography of his empire. It also provides rich details about the traditions and culture of the people living in India. The most interesting aspect about the Ain-i Akbari is its rich statistical details about things as diverse as crops, yields, prices, wages and revenues. Nur Jahan’s influence in Jahangir’s court","same essence — brahman. He concluded his teaching with these words, “Everything consists of this subtle essence. ... You are That, Śhvetaketu.” Nachiketa and his quest
(Katha Upaniṣhad) Once, a man was giving away all his possessions in a ritual. As his son Nachiketa kept asking him which god he would be offered to, the father became angry and answered, “I give you to Yama” — that is, to the god of death. Nachiketa, then, proceeded to Yama’s world and, after a long wait, met the mighty god. One question was on his mind — “What 7-100724_v10A.indd 1117-100724_v10A.indd 111 11-Jul-24 4:24:56 PM11-Jul-24 4:24:56 PM"
"According to the provided context, Mughal queens and princesses played a significant role in governance through their strategic marriages with other rulers. For example:
The mother of Jahangir was a Kachhwaha princess, daughter of the Rajput ruler of Amber (modern-day Jaipur).
The mother of Shah Jahan was a Rathor princess, daughter of another Rajput ruler.
These marriages brought the Mughals into conflict with larger and more complex kingdoms and empires. As a result, they became politically powerful and influential in governance, likely having a say in matters such as succession, diplomacy, and military campaigns.","According to the context, Mughal queens and princesses influenced governance through their marriages with other rulers, such as the Rajputs. This brought them into conflict with larger and more complex kingdoms and empires, and ultimately contributed to the decline of the Mughal Empire.","41 THE MUGHALS Mughal Traditions of Succession The Mughals did not believe in the rule of primogeniture, where the eldest son inherited his father’s estate. Instead they followed the Mughal and Timurid custom of coparcenary inheritance, or a division of the inheritance amongst all the sons. Which do you think is a fairer division of inheritance: primogeniture or coparcenary? Mughal Relations with Other Rulers The Mughal rulers campaigned constantly against rulers who refused to accept their authority. But as the Mughals became powerful many other rulers also joined them voluntarily. The Rajputs are a good example of this. Many of them married their daughters into Mughal families and received high positions. But many resisted as well. Mughal marriages with the Rajputs The mother of Jahangir was
a Kachhwaha princess, daughter of the Rajput ruler of Amber (modern- day Jaipur). The mother of Shah Jahan was a Rathor princess, daughter","They thus became politically powerful. This brought them into conflict with larger and more complex kingdoms and empire Why do you think the Mughals tried to conquer the land of the Ahoms? Discuss why the Mughals were interested in the land of the Gonds. Fig. 7 Ear ornaments, Koboi Naga tribe, Manipur. ? ?","century. These were caused by a number of factors. Emperor Aurangzeb had depleted the military and financial resources of his empire by fighting a long war in the Deccan. Under his successors, the efficiency of the imperial administration broke down. It became increasingly difficult for the later Mughal emperors to keep a check on their powerful mansabdars. Nobles appointed as governors (subadars) often controlled the offices ? See Chapter 4, Table 1. Which group of people challenged Mughal authority for the longest time in Aurangzeb’s reign? Map 2 British territories in the mid-eighteenth century. Unit 8.indd 95 17-05-2022 12:40:39 Reprint 2024-25"
"According to the document, sulh-i kul was a policy of ""universal peace"" followed by Akbar, which meant that his imperial dominions were inclusive and tolerant towards people of different religions and beliefs. In practice, this meant that Sunnis and Shias worshipped together in one mosque, and Christians and Jews prayed together in one church, without any intolerance or discrimination.","According to the context, sulh-i kul means ""universal peace"" and refers to Akbar's policy of tolerance towards all religions and beliefs.","45 THE MUGHALS Sulh-i kul Jahangir, Akbar’s son, described his father’s policy of sulh-i kul in the following words: As in the wide expanse of the divine compassion there is room for all classes and the followers of all creeds, so … in his Imperial dominions, which on all sides were limited only by the sea, there was room for the professors of opposite religions, and for beliefs, good and bad, and the road to intolerance was closed. Sunnis and Shias met in one mosque and Christians and Jews in one church to pray. He consistently followed the principle of “universal peace” (sulh-i kul). The Mughal Empire in the Seventeenth Century and After The administrative and military efficiency of the Mughal Empire led to great economic and commercial prosperity. International travellers described it as the fabled land of wealth. But these same visitors were also appalled at the state of poverty that existed side by side with the greatest opulence. The inequalities","Elevated Majesty Nur Jahan Padshah Begum”. The round seal states, “by the sun of Shah Jahangir she became as brilliant as the moon; may Nur Jahan Padshah be the lady of the age”. Fig. 7 Nur Jahan’s farman. Akbar Nama and Ain-i Akbari Akbar ordered one of his close friends and courtiers, Abul Fazl, to write a history of his reign. Abul Fazl wrote a three-volume history of Akbar’s reign, titled Akbar Nama. The first volume dealt with Akbar’s ancestors and the second volume recorded the events of Akbar’s reign. The third volume is the Ain-i Akbari. It deals with Akbar’s administration, household, army, the revenues and the geography of his empire. It also provides rich details about the traditions and culture of the people living in India. The most interesting aspect about the Ain-i Akbari is its rich statistical details about things as diverse as crops, yields, prices, wages and revenues. Nur Jahan’s influence in Jahangir’s court","Safadi, Y.H. Islamic Calligraphy, (Ch.1, fig. 2); Singh, Roopinder. Guru Nanak, his Life and Teachings, (Ch. 6, fig. 11); Stronge, Susan. The Arts of the Sikh Kingdoms, (Ch. 6, fig. 10, pg. xii); Prelims.indd 9 17-05-2022 12:49:59 Reprint 2024-25"
"According to the given context, family members help each other in difficult times by taking on responsibilities and participating in daily life at home. For instance, children learn to participate in household activities as they grow up, which helps them contribute to their family's well-being. This mutual support and cooperation enable family members to overcome challenges together, fostering a sense of unity and community within the family.","Based on the provided context, family members help each other in difficult times by taking on responsibilities and participating in daily household activities. Children learn to take on more responsibilities as they grow up, helping their parents or siblings, which helps them develop a sense of joint family life. This practice allows children to participate in the life of the household and learn valuable skills and traditions from their family.","has a role and responsibility towards other members. For instance, parents are responsible for raising their children to become happy individuals and responsible members of the society. But also, as children grow up, they take on more responsibilities in the home to help other family members — whether parents or a sister or a brother , etc. Through daily practice, children learn to participate in the life of the household. In many homes, children also learn some of the traditions and practices their family has been following for generations. 9_100724_v4.indd 1399_100724_v4.indd 139 11-Jul-24 5:04:18 PM11-Jul-24 5:04:18 PM","143 9 ― Family and Community LET’S EXPLORE Æ Create a story of a family somewhere in India, where we see some family values practised. Share it with your class either through writing or drawing. Æ Stage a small drama with all your classmates around two or three families. The play you write could include some challenging situations that the families faced, and show how they are resolved. Æ In the stories of Shalini and Tenzing, we see examples of joint families. What do you think are the aspects of modern living that make some couples opt for a nuclear family (i.e., living apart from older generations or other relatives)? What could be some advantages as well as disadvantages of the two kinds of families? Community Families are connected not only within themselves, but also with other families and the people around them. Such a group of connected people may be called a ‘community’ (there are other meanings for ‘community’, depending on","137 9 ― Family and Community Family and
Community CHAPTER9

Why is the family unit important?
What is a community and what is its role? The Big Questions Family Almost all of us live in a family. The family is the fundamental and most ancient unit of any society. In Indian society today, there are several types of families — from joint families to nuclear families. A joint family has several generations living together — grandparents, parents, uncles and aunts, Love and dharma are the flower and fruit of family life. — Tiruvalluvar Examples of joint families 9_100724_v4.indd 1379_100724_v4.indd 137 11-Jul-24 5:04:17 PM11-Jul-24 5:04:17 PM"
"According to the provided context, mutual respect is important in a family because it allows family members to participate in the life of the household and take on responsibilities to help one another. For instance, children learn to participate in daily activities and take on more responsibilities as they grow up, while parents are responsible for raising their children to become happy individuals and responsible members of society. This mutual respect enables family members to work together harmoniously and maintain a sense of unity and community within the household.","According to the provided context, mutual respect is important in a family because it shows that each member has a role and responsibility towards other members. For instance, parents are responsible for raising their children, while children take on more responsibilities as they grow up to help other family members. This sense of mutual respect fosters daily practice and learning of traditions and practices passed down through generations.","143 9 ― Family and Community LET’S EXPLORE Æ Create a story of a family somewhere in India, where we see some family values practised. Share it with your class either through writing or drawing. Æ Stage a small drama with all your classmates around two or three families. The play you write could include some challenging situations that the families faced, and show how they are resolved. Æ In the stories of Shalini and Tenzing, we see examples of joint families. What do you think are the aspects of modern living that make some couples opt for a nuclear family (i.e., living apart from older generations or other relatives)? What could be some advantages as well as disadvantages of the two kinds of families? Community Families are connected not only within themselves, but also with other families and the people around them. Such a group of connected people may be called a ‘community’ (there are other meanings for ‘community’, depending on","137 9 ― Family and Community Family and
Community CHAPTER9

Why is the family unit important?
What is a community and what is its role? The Big Questions Family Almost all of us live in a family. The family is the fundamental and most ancient unit of any society. In Indian society today, there are several types of families — from joint families to nuclear families. A joint family has several generations living together — grandparents, parents, uncles and aunts, Love and dharma are the flower and fruit of family life. — Tiruvalluvar Examples of joint families 9_100724_v4.indd 1379_100724_v4.indd 137 11-Jul-24 5:04:17 PM11-Jul-24 5:04:17 PM","has a role and responsibility towards other members. For instance, parents are responsible for raising their children to become happy individuals and responsible members of the society. But also, as children grow up, they take on more responsibilities in the home to help other family members — whether parents or a sister or a brother , etc. Through daily practice, children learn to participate in the life of the household. In many homes, children also learn some of the traditions and practices their family has been following for generations. 9_100724_v4.indd 1399_100724_v4.indd 139 11-Jul-24 5:04:18 PM11-Jul-24 5:04:18 PM"
"Based on the provided context, values passed down in Indian families include:
Ahimsa (non-violence)
Dāna (giving)
Sevā (service)
Tyāga (sacrifice)
These values are emphasized through the concept of ""dharma"" or doing one's duty, and are learned within the family as a ""school"".","According to the given context, values passed down in Indian families include:

* Ahimsa (non-violence)
* Dāna (giving)
* Sevā (service)
* Tyāga (sacrifice)

These values are learned by children in the family and are considered important principles of Indian culture.","140 Exploring Society: India and Beyond
Governance and Democracy LET’S EXPLORE Answer these questions and compare your answers with a
few classmates: Æ Who in your family decides what is to be bought from
the market? Æ Who cooks food in your home? Æ Who is the oldest person in your family? Æ Who cleans the floor in your home? Æ Who washes utensils in your house? Æ Who helps you to do your homework? Following our dharma, or doing our duty, has been an important principle of Indian culture. The family is also a ‘school’, where children learn important values such as ahimsa, dāna (giving), sevā (service) and tyāga (sacrifice). Individuals in the family often give up their own needs to take care of the family’s needs. Let us see one such story. Shalini lives with her family in a town in Kerala. Her father runs a small business and her mother is a teacher in a nearby school. Shalini has a younger brother. Her grandmother, Acchamma","137 9 ― Family and Community Family and
Community CHAPTER9

Why is the family unit important?
What is a community and what is its role? The Big Questions Family Almost all of us live in a family. The family is the fundamental and most ancient unit of any society. In Indian society today, there are several types of families — from joint families to nuclear families. A joint family has several generations living together — grandparents, parents, uncles and aunts, Love and dharma are the flower and fruit of family life. — Tiruvalluvar Examples of joint families 9_100724_v4.indd 1379_100724_v4.indd 137 11-Jul-24 5:04:17 PM11-Jul-24 5:04:17 PM","186 Exploring Society: India and Beyond
Economic Life Around Us Non-economic activities are those that do not generate income or wealth but are done out of feelings like gratitude, love, care and respect. For instance, parents cooking food for the family or helping their children with schoolwork, youth taking care of the grandparents, family members helping in the renovation of the house, etc. Left to right, top to bottom:
A business person selling
school bags in the market Farmers selling their
harvest in the market A lawyer arguing a case A truck driver transporting goods from one place to another Workers employed in a car manufacturing factory Left to right: Parents cooking food
for the family Mother helping her children with
schoolwork 13_100724_v8_.indd 18613_100724_v8_.indd 186 11-Jul-24 4:29:58 PM11-Jul-24 4:29:58 PM"
"According to the provided context, traditions strengthen family bonds by being passed down from generation to generation. Children learn these traditions through daily practice and participation in household activities, which helps them develop a sense of responsibility towards other family members. This shared experience and cultural heritage foster a sense of unity and connection among family members, ultimately strengthening their bonds.","Based on the provided context, traditions strengthen family bonds by teaching children to participate in household life and learn family values and practices passed down through generations.","has a role and responsibility towards other members. For instance, parents are responsible for raising their children to become happy individuals and responsible members of the society. But also, as children grow up, they take on more responsibilities in the home to help other family members — whether parents or a sister or a brother , etc. Through daily practice, children learn to participate in the life of the household. In many homes, children also learn some of the traditions and practices their family has been following for generations. 9_100724_v4.indd 1399_100724_v4.indd 139 11-Jul-24 5:04:18 PM11-Jul-24 5:04:18 PM","143 9 ― Family and Community LET’S EXPLORE Æ Create a story of a family somewhere in India, where we see some family values practised. Share it with your class either through writing or drawing. Æ Stage a small drama with all your classmates around two or three families. The play you write could include some challenging situations that the families faced, and show how they are resolved. Æ In the stories of Shalini and Tenzing, we see examples of joint families. What do you think are the aspects of modern living that make some couples opt for a nuclear family (i.e., living apart from older generations or other relatives)? What could be some advantages as well as disadvantages of the two kinds of families? Community Families are connected not only within themselves, but also with other families and the people around them. Such a group of connected people may be called a ‘community’ (there are other meanings for ‘community’, depending on","137 9 ― Family and Community Family and
Community CHAPTER9

Why is the family unit important?
What is a community and what is its role? The Big Questions Family Almost all of us live in a family. The family is the fundamental and most ancient unit of any society. In Indian society today, there are several types of families — from joint families to nuclear families. A joint family has several generations living together — grandparents, parents, uncles and aunts, Love and dharma are the flower and fruit of family life. — Tiruvalluvar Examples of joint families 9_100724_v4.indd 1379_100724_v4.indd 137 11-Jul-24 5:04:17 PM11-Jul-24 5:04:17 PM"
"According to the context, Shalini lives with her family in a town in Kerala.
","According to the given context, Shalini lives with her family in a town in Kerala.","Shalini lives with her family in a town in Kerala. Her father runs a small business and her mother is a teacher in a nearby school. Shalini has a younger brother. Her grandmother, Acchamma 9_100724_v4.indd 1409_100724_v4.indd 140 11-Jul-24 5:04:19 PM11-Jul-24 5:04:19 PM","141 9 ― Family and Community (father’s mother), Chittappa (father’s brother or paternal uncle) and her Chitti (aunt or uncle’s wife) live with them. They have a daughter, Shalini’s cousin, who she calls Chinni. Shalini’s uncle has just lost his job and her aunt is a homemaker. The whole family was preparing for the festival of Onam. Acchamma told Shalini’s father that his brother was having financial difficulties, so they were not able to buy new clothes for the festival. When Shalini’s parents took her and her brother shopping, they bought new clothes not only for themselves, but also for Chittappa, Chitti and Chinni. As a result, Shalini did not get the silk dress she had expected; she had to settle for a simple cotton one. Acchamma explained to Shalini that this is how families support each other and share what they have. Shalini did not mind her simpler dress. She was happy that everyone could get some new clothes. LET’S EXPLORE","families support each other and share what they have. Shalini did not mind her simpler dress. She was happy that everyone could get some new clothes. LET’S EXPLORE Æ Draw a simple tree of this family of seven members. Æ Why do you think Shalini’s parents bought clothes
for everyone? Æ What would you have done if you were in Shalini’s place? That story was set in Kerala. Let us now travel northeast, to a village in Meghalaya. My name is Tenzing. I love the mountains we live in, though life is sometimes hard. My father runs a small grocery store. After my mother became busy in a local handicraft cooperative, making our beautiful traditional fabrics,
wood carvings and other items for sale to tourists, my father joined in cleaning the house, taking care of our small vegetable garden 9_100724_v4.indd 1419_100724_v4.indd 141 11-Jul-24 5:04:20 PM11-Jul-24 5:04:20 PM"
